縣市別,地熱潛能區,預估潛能量(MW),已商轉家數,已設置容量(MW),籌設規劃中家數,籌設規劃中容量(MW)
台中市,谷關,15,0,0,0,0
台中市,馬陵,11,0,0,0,0
台東縣,知本,25,1,0.01,1,9.99
台東縣,金崙,48,1,0.499,3,11.99
台東縣,臺東紅葉,12,0,0,1,1
台東縣,霧鹿,18,0,0,0,0
台東縣,桃林,14,0,0,0,0
台東縣,比魯,14,0,0,0,0
台東縣,綠島,2.2,0,0,0,0
台南市,關仔嶺,11,0,0,0,0
宜蘭縣,宜蘭清水,61,2,4.5,1,0.45
宜蘭縣,土場,25,0,0,2,4.84
宜蘭縣,四區,18,0,0,0,0
宜蘭縣,五區,18,0,0,0,0
宜蘭縣,臭乾,16,0,0,0,0
宜蘭縣,茂邊,19,0,0,0,0
宜蘭縣,礁溪,9,0,0,0,0
花蓮縣,瑞穗,16,0,0,0,0
花蓮縣,富源,9,0,0,0,0
南投縣,廬山,41,0,0,0,0
南投縣,東埔,16,0,0,0,0
南投縣,樂樂,9,0,0,0,0
南投縣,紅香,11,0,0,0,0
高雄市,寶來,14,0,0,0,0
新北市,大屯山,514,0,0,3,5.499
新北市,烏來,13,0,0,0,0
嘉義縣,中崙,11,0,0,0,0
